Metin,Normal Metin,Niyet,Kaynak,Bölüm
söyler misin hangi konularda yardımcı olursun,soyler misin hangi konularda yardimci olursun,BOT_YETENEK,KitapPusula-Final-özel,eğitim
iyi günler orada mısın,iyi gunler orada misin,SELAMLAMA,KitapPusula-V6,eğitim
yorumuna göre verilmek istenen mesaj ne olabilir kısaca değerlendir,yorumuna gore verilmek istenen mesaj ne olabilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
merak ettim hangi ülkedesin lütfen,merak ettim hangi ulkedesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
modelle yeni kitap sınıflandır lütfen,modelle yeni kitap siniflandir lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
açıkçası kitaplardan konuşmayı seviyorum aslında,acikcasi kitaplardan konusmayi seviyorum aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
niyet modeli için model bilgilerini göster,niyet modeli icin model bilgilerini goster,MODEL_BILGISI,KitapPusula-V6,eğitim
kullanım seçeneklerini ver,kullanim seceneklerini ver,YARDIM,KitapPusula-V6,eğitim
az önceki kitap kısa özetini ver,az onceki kitap kisa ozetini ver,OZET_SORUSU,KitapPusula-V6,eğitim
kitap havuzu ne kadar büyük söyler misin,kitap havuzu ne kadar buyuk soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
bugün moralin nasıl bakalım,bugun moralin nasil bakalim,NASILSIN,KitapPusula-V6,eğitim
Sefiller,sefiller,KITAP_ARAMA,KitapPusula-V6,eğitim
bu kitap hakkında biraz daha ayrıntı anlat,bu kitap hakkinda biraz daha ayrinti anlat,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitap ne kadar uzun hatırlatır mısın,bu kitap ne kadar uzun hatirlatir misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
bu eserle ilgili daha derin bilgi ver,bu eserle ilgili daha derin bilgi ver,DETAY_SORUSU,KitapPusula-V6,eğitim
bu eser hangi türe ait,bu eser hangi ture ait,TUR_SORUSU,KitapPusula-V6,eğitim
sence kitap kimlere uygun kısaca değerlendir,sence kitap kimlere uygun kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
bugün mont giymeme gerek var mı,bugun mont giymeme gerek var mi,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
sistemde kaç kitap var,sistemde kac kitap var,KITAP_SAYISI,KitapPusula-V6,eğitim
az önceki kitap roman mı hikâye mi,az onceki kitap roman mi hik ye mi,TUR_SORUSU,KitapPusula-V6,eğitim
nasılsın KitapPusula,nasilsin kitappusula,NASILSIN,KitapPusula-V6,eğitim
günaydın,gunaydin,SELAMLAMA,KitapPusula-V6,eğitim
ne kadar süre pişiriyorsun,ne kadar sure pisiriyorsun,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu eserin yazarının adı ne,bu eserin yazarinin adi ne,YAZAR_SORUSU,KitapPusula-V6,eğitim
sanırım biraz sohbet etmek istiyorum şimdi,sanirim biraz sohbet etmek istiyorum simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
az önce neye bakıyorduk söyler misin,az once neye bakiyorduk soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
söyler misin bu uygulamayı yapan kim,soyler misin bu uygulamayi yapan kim,BOT_YARATICI,KitapPusula-Final-özel,eğitim
modelle açıklamayı sınıfa ayır başlat,modelle aciklamayi sinifa ayir baslat,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
sence karakterin davranışı nasıl değerlendirilebilir yorumlar mısın,sence karakterin davranisi nasil degerlendirilebilir yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
tam pişmiş yumurta için gerekli süre ne kadar,tam pismis yumurta icin gerekli sure ne kadar,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bugün iyi misin KitapPusula,bugun iyi misin kitappusula,NASILSIN,KitapPusula-V6,eğitim
bu romanda kahramanın adı ne hatırlatır mısın,bu romanda kahramanin adi ne hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
kısaca yardım et,kisaca yardim et,YARDIM,KitapPusula-V6,eğitim
lütfen kitap bilgisini yinele bir kez daha,lutfen kitap bilgisini yinele bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
söyler misin kim olduğunu anlat bana,soyler misin kim oldugunu anlat bana,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bu eser kısa özetini ver anlatır mısın,bu eser kisa ozetini ver anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
bu kitap kaç sayfa,bu kitap kac sayfa,SAYFA_SORUSU,KitapPusula-V6,eğitim
ayrıntılı olarak özelliklerin neler lütfen,ayrintili olarak ozelliklerin neler lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu kitapta hikâye nasıl bitiyor anlatır mısın,bu kitapta hik ye nasil bitiyor anlatir misin,OLAY_SORUSU,KitapPusula-V6,eğitim
patatesleri doğru kesmeyi öğren,patatesleri dogru kesmeyi ogren,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hakkında konuyu daha geniş açıkla,bu kitap hakkinda konuyu daha genis acikla,DETAY_SORUSU,KitapPusula-V6,eğitim
bu romanda hangi karakterler var,bu romanda hangi karakterler var,KARAKTER_SORUSU,KitapPusula-V6,eğitim
hangi ülkedesin şu anda,hangi ulkedesin su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
merak ettim nasıl bir asistansın,merak ettim nasil bir asistansin,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
şu anda güncel gelişmeler neler söyler misin,su anda guncel gelismeler neler soyler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bu eser edebî türü nedir söyler misin,bu eser edeb turu nedir soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
kullanım rehberini aç,kullanim rehberini ac,YARDIM,KitapPusula-V6,eğitim
şu anda ülke gündeminde neler var söyler misin,su anda ulke gundeminde neler var soyler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
model kategori listesini ver şu anda,model kategori listesini ver su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bilinmeyen kitabın türünü belirle lütfen,bilinmeyen kitabin turunu belirle lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
bana yardım et anlatır mısın,bana yardim et anlatir misin,YARDIM,KitapPusula-V6,eğitim
yeni ne var,yeni ne var,HABER_SORUSU,MASSIVE-tr-TR,eğitim
şimdilik hoşça kal,simdilik hosca kal,VEDA,KitapPusula-Final-özel,eğitim
bu kitap ne anlatıyor,bu kitap ne anlatiyor,OZET_SORUSU,KitapPusula-V6,eğitim
kaç tür tanıyor,kac tur taniyor,KATEGORI_LISTESI,KitapPusula-V6,eğitim
On Küçük Zenci,on kucuk zenci,KITAP_ARAMA,KitapPusula-V6,eğitim
işler nasıl,isler nasil,NASILSIN,KitapPusula-V6,eğitim
o zaman hoşça kal KitapPusula,o zaman hosca kal kitappusula,VEDA,KitapPusula-Final-özel,eğitim
bana bir espri patlat olur mu,bana bir espri patlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
bay bay KitapPusula,bay bay kitappusula,VEDA,KitapPusula-Final-özel,eğitim
o zaman ben çıkıyorum KitapPusula,o zaman ben cikiyorum kitappusula,VEDA,KitapPusula-Final-özel,eğitim
bugün moralin nasıl,bugun moralin nasil,NASILSIN,KitapPusula-V6,eğitim
c. n. n. haberleri aç,c n n haberleri ac,HABER_SORUSU,MASSIVE-tr-TR,eğitim
bu eserin kimin eseri hatırlatır mısın,bu eserin kimin eseri hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
niyet modeli için macro f1 kaç,niyet modeli icin macro f1 kac,MODEL_BILGISI,KitapPusula-V6,eğitim
bu kitapta baş karakter kimdir hatırlatır mısın,bu kitapta bas karakter kimdir hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
oyun kodu geliştir olur mu,oyun kodu gelistir olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
konuşacak çok şey var şimdi,konusacak cok sey var simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu kitap hakkında daha derin bilgi ver,bu kitap hakkinda daha derin bilgi ver,DETAY_SORUSU,KitapPusula-V6,eğitim
kısaca hangi soruları anlayabilirsin anlatır mısın,kisaca hangi sorulari anlayabilirsin anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bunu kim yazmış,bunu kim yazmis,YAZAR_SORUSU,KitapPusula-V6,eğitim
son olarak son dakika gelişmeleri neler lütfen,son olarak son dakika gelismeleri neler lutfen,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bu kitapta bu olayın sebebi ne kısaca söyler misin,bu kitapta bu olayin sebebi ne kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
kısaca senden ne isteyebilirim lütfen,kisaca senden ne isteyebilirim lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu eser konusu ne,bu eser konusu ne,OZET_SORUSU,KitapPusula-V6,eğitim
verdiğin cevap için emeğine sağlık KitapPusula,verdigin cevap icin emegine saglik kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
bana yardım et lütfen,bana yardim et lutfen,YARDIM,KitapPusula-V6,eğitim
artık sonra konuşuruz sonra,artik sonra konusuruz sonra,VEDA,KitapPusula-Final-özel,eğitim
merak ettim ne işe yarıyorsun anlatır mısın,merak ettim ne ise yariyorsun anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bu kitap hangi edebî sınıfa giriyor söyler misin,bu kitap hangi edeb sinifa giriyor soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
dürüm tarifi istiyorum,durum tarifi istiyorum,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
neye bakıyorduk söyler misin,neye bakiyorduk soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
sence kitap hakkında ne düşünüyorsun yorumlar mısın,sence kitap hakkinda ne dusunuyorsun yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
yardımın için cevabın faydalı oldu,yardimin icin cevabin faydali oldu,TESEKKUR,KitapPusula-Final-özel,eğitim
sınıflandırıcı edebî kategorileri göster,siniflandirici edeb kategorileri goster,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitap hakkında başka neler biliyorsun lütfen,bu kitap hakkinda baska neler biliyorsun lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
google dışarıda sıcaklık nasıl,google disarida sicaklik nasil,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
model nasıl çalışıyor,model nasil calisiyor,MODEL_BILGISI,KitapPusula-V6,eğitim
küresel ısınma hakkındaki en son haberler nelerdir,kuresel isinma hakkindaki en son haberler nelerdir,HABER_SORUSU,MASSIVE-tr-TR,eğitim
seni kim kodladı bana,seni kim kodladi bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
hangi kitap türlerini ayırıyor söyler misin,hangi kitap turlerini ayiriyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu eserle ilgili ayrıntılı anlat lütfen,bu eserle ilgili ayrintili anlat lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
hey orada mısın,hey orada misin,SELAMLAMA,KitapPusula-V6,eğitim
bu eserin hangi yazar yazdı hatırlatır mısın,bu eserin hangi yazar yazdi hatirlatir misin,YAZAR_SORUSU,KitapPusula-V6,eğitim
doğrudan arkanda kim var bana,dogrudan arkanda kim var bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
kitap modeli için cross validation sonucu nedir ayrıntılı anlat,kitap modeli icin cross validation sonucu nedir ayrintili anlat,MODEL_BILGISI,KitapPusula-V6,eğitim
o zaman görüşürüz sonra,o zaman gorusuruz sonra,VEDA,KitapPusula-Final-özel,eğitim
bugün güncel haberleri anlat,bugun guncel haberleri anlat,HABER_SORUSU,KitapPusula-Final-özel,eğitim
bu kitap okuması uzun sürer mi söyler misin,bu kitap okumasi uzun surer mi soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
saatin kaç olduğunu bilmek istiyorum,saatin kac oldugunu bilmek istiyorum,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hikâyesi ne lütfen,bu kitap hik yesi ne lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
bana kısa bir fıkra anlat olur mu,bana kisa bir fikra anlat olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
kısaca Python kodu yaz olur mu,kisaca python kodu yaz olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
sanırım biraz muhabbet edelim,sanirim biraz muhabbet edelim,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
söyler misin yaratıcın kim,soyler misin yaraticin kim,BOT_YARATICI,KitapPusula-Final-özel,eğitim
ne işe yarıyorsun anlatır mısın,ne ise yariyorsun anlatir misin,BOT_YETENEK,KitapPusula-Final-özel,eğitim
artık hoşça kal KitapPusula,artik hosca kal kitappusula,VEDA,KitapPusula-Final-özel,eğitim
sen kimsin,sen kimsin,BOT_KIMLIK,KitapPusula-Final-özel,eğitim
bin dokuz yüz yetmiş iki noel hafta sonuna mı denk gelmişti,bin dokuz yuz yetmis iki noel hafta sonuna mi denk gelmisti,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
yorumuna göre kitap kimlere uygun yorumlar mısın,yorumuna gore kitap kimlere uygun yorumlar misin,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
verdiğin cevap için teşekkür ederim KitapPusula,verdigin cevap icin tesekkur ederim kitappusula,TESEKKUR,KitapPusula-Final-özel,eğitim
Santiago kim,santiago kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
az önceki kitap hangi kategoride,az onceki kitap hangi kategoride,TUR_SORUSU,KitapPusula-V6,eğitim
konuşacak çok şey var,konusacak cok sey var,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
sence eserin duygusu nasıl kısaca değerlendir,sence eserin duygusu nasil kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
tamam kendine iyi bak KitapPusula,tamam kendine iyi bak kitappusula,VEDA,KitapPusula-Final-özel,eğitim
hepsini tekrar et,hepsini tekrar et,TEKRAR_GOSTER,KitapPusula-V6,eğitim
bu eser edebî türü nedir,bu eser edeb turu nedir,TUR_SORUSU,KitapPusula-V6,eğitim
bu kitapta hikâyeyi taşıyan kişi kim hatırlatır mısın,bu kitapta hik yeyi tasiyan kisi kim hatirlatir misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
yirmi üçü hafta sonu mu,yirmi ucu hafta sonu mu,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bana bu haftanın tahminlerini göster,bana bu haftanin tahminlerini goster,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bugün iyi misin,bugun iyi misin,NASILSIN,KitapPusula-V6,eğitim
metinden kitap türü çıkar lütfen,metinden kitap turu cikar lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
şifre kırmayı öğret istiyorum,sifre kirmayi ogret istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
tamam hoşça kal,tamam hosca kal,VEDA,KitapPusula-Final-özel,eğitim
bilmediğin kitap var mı,bilmedigin kitap var mi,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
acaba kaç yaşındasın şu anda,acaba kac yasindasin su anda,BOT_YAS,KitapPusula-Final-özel,eğitim
yaşlı mısın,yasli misin,BOT_YAS,KitapPusula-Final-özel,eğitim
bu kitapta neden böyle davranıyor kısaca söyler misin,bu kitapta neden boyle davraniyor kisaca soyler misin,OLAY_SORUSU,KitapPusula-V6,eğitim
moskova'da saat kaç,moskova da saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bugün burada vakit geçirmek hoşuma gidiyor şimdi,bugun burada vakit gecirmek hosuma gidiyor simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu kitap hakkında biraz daha ayrıntı anlat mümkünse,bu kitap hakkinda biraz daha ayrinti anlat mumkunse,DETAY_SORUSU,KitapPusula-V6,eğitim
bu kitapta kahramanın adı ne söyler misin,bu kitapta kahramanin adi ne soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
yerel veri tabanında kitap sayısı kaç söyler misin,yerel veri tabaninda kitap sayisi kac soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
pop endüstrisinde neler oluyor,pop endustrisinde neler oluyor,HABER_SORUSU,MASSIVE-tr-TR,eğitim
sınıflandırıcı desteklenen kategoriler neler,siniflandirici desteklenen kategoriler neler,KATEGORI_LISTESI,KitapPusula-V6,eğitim
baharat lazım,baharat lazim,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
modelle etiketsiz kitabın kategorisini bul lütfen,modelle etiketsiz kitabin kategorisini bul lutfen,YENI_KITAP_SINIFLANDIR,KitapPusula-V6,eğitim
lütfen espri yap,lutfen espri yap,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
bu kitap hakkında biraz daha ayrıntı anlat lütfen,bu kitap hakkinda biraz daha ayrinti anlat lutfen,DETAY_SORUSU,KitapPusula-V6,eğitim
nasıl kullanılır anlatır mısın,nasil kullanilir anlatir misin,YARDIM,KitapPusula-V6,eğitim
lütfen bana bu haftanın hava durumu hakkında bilgi ver,lutfen bana bu haftanin hava durumu hakkinda bilgi ver,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
bu eserin müellifi kim,bu eserin muellifi kim,YAZAR_SORUSU,KitapPusula-V6,eğitim
başarı oranı nedir,basari orani nedir,MODEL_BILGISI,KitapPusula-V6,eğitim
seçtiğimiz kitabın adı ne,sectigimiz kitabin adi ne,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
şu anda hangi ülkedesin lütfen,su anda hangi ulkedesin lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
baştan göster,bastan goster,TEKRAR_GOSTER,KitapPusula-V6,eğitim
lütfen neşeli bir cümle kur olur mu,lutfen neseli bir cumle kur olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
lütfen yazar tür sayfa ve özeti söyle lütfen,lutfen yazar tur sayfa ve ozeti soyle lutfen,TEKRAR_GOSTER,KitapPusula-V6,eğitim
çok cevabın faydalı oldu,cok cevabin faydali oldu,TESEKKUR,KitapPusula-Final-özel,eğitim
hint yemeğinde hangi baharatlar var,hint yemeginde hangi baharatlar var,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap kısaca özetle,bu kitap kisaca ozetle,OZET_SORUSU,KitapPusula-V6,eğitim
Simyacı,simyaci,KITAP_ARAMA,KitapPusula-V6,eğitim
kısa bir fıkra anlat,kisa bir fikra anlat,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
biraz önce hangi kitabı konuşuyoruz söyler misin,biraz once hangi kitabi konusuyoruz soyler misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
artık bay bay sonra,artik bay bay sonra,VEDA,KitapPusula-Final-özel,eğitim
evin nerede lütfen,evin nerede lutfen,BOT_KONUM,KitapPusula-Final-özel,eğitim
söyler misin kodlarını kim yazdı,soyler misin kodlarini kim yazdi,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bu kitapta merkezdeki kişi kim,bu kitapta merkezdeki kisi kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
başarı oranı nedir söyler misin,basari orani nedir soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
bu eser ana konusu nedir anlatır mısın,bu eser ana konusu nedir anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
şu anda hangi haberler konuşuluyor söyler misin,su anda hangi haberler konusuluyor soyler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
spaghetti tarifi,spaghetti tarifi,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu kitapta hangi maceralar yaşanıyor,bu kitapta hangi maceralar yasaniyor,OLAY_SORUSU,KitapPusula-V6,eğitim
bu sene doğum günüm hangi güne denk geliyor,bu sene dogum gunum hangi gune denk geliyor,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
bu kitap hangi tür,bu kitap hangi tur,TUR_SORUSU,KitapPusula-V6,eğitim
keyfin nasıl KitapPusula,keyfin nasil kitappusula,NASILSIN,KitapPusula-V6,eğitim
olly bugün palto almalı mıyım,olly bugun palto almali miyim,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
açıkçası biraz muhabbet edelim şimdi,acikcasi biraz muhabbet edelim simdi,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
bu romanda hangi karakterler var söyler misin,bu romanda hangi karakterler var soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
espri yap olur mu,espri yap olur mu,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
internetten lazanya pişirme sonuçlarını göster,internetten lazanya pisirme sonuclarini goster,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
sistemde ne kadar kitap biliyorsun söyler misin,sistemde ne kadar kitap biliyorsun soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
bu eser hangi kategoride,bu eser hangi kategoride,TUR_SORUSU,KitapPusula-V6,eğitim
trabzon'da saat kaç,trabzon da saat kac,TARIH_SAAT_SORUSU,MASSIVE-tr-TR,eğitim
az önceki kitap neyi konu alıyor,az onceki kitap neyi konu aliyor,OZET_SORUSU,KitapPusula-V6,eğitim
söyler misin fiziksel olarak neredesin,soyler misin fiziksel olarak neredesin,BOT_KONUM,KitapPusula-Final-özel,eğitim
kitap modeli için model bilgilerini göster söyler misin,kitap modeli icin model bilgilerini goster soyler misin,MODEL_BILGISI,KitapPusula-V6,eğitim
şu anda hangi ortamda çalışıyorsun şu anda,su anda hangi ortamda calisiyorsun su anda,BOT_KONUM,KitapPusula-Final-özel,eğitim
model hangi kitap türlerini ayırıyor şu anda,model hangi kitap turlerini ayiriyor su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
biraz muhabbet edelim aslında,biraz muhabbet edelim aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
lütfen C sharp kodu üret istiyorum,lutfen c sharp kodu uret istiyorum,ALAN_DISI,KitapPusula-Final-özel,eğitim
bu kitap ana konusu nedir anlatır mısın,bu kitap ana konusu nedir anlatir misin,OZET_SORUSU,KitapPusula-V6,eğitim
bu romanda başkahraman kim söyler misin,bu romanda baskahraman kim soyler misin,KARAKTER_SORUSU,KitapPusula-V6,eğitim
merhaba KitapPusula,merhaba kitappusula,SELAMLAMA,KitapPusula-V6,eğitim
söyler misin senden ne isteyebilirim lütfen,soyler misin senden ne isteyebilirim lutfen,BOT_YETENEK,KitapPusula-Final-özel,eğitim
bana ne yapabiliyorsun,bana ne yapabiliyorsun,YARDIM,KitapPusula-V6,eğitim
hangi türleri biliyor söyler misin,hangi turleri biliyor soyler misin,KATEGORI_LISTESI,KitapPusula-V6,eğitim
şimdilik şimdilik bu kadar,simdilik simdilik bu kadar,VEDA,KitapPusula-Final-özel,eğitim
az önceki kitap için yazar tür sayfa ve özeti söyle,az onceki kitap icin yazar tur sayfa ve ozeti soyle,TEKRAR_GOSTER,KitapPusula-V6,eğitim
az önce hangi eser açık hatırlatır mısın,az once hangi eser acik hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
az önce hangi eser açık,az once hangi eser acik,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
son olarak şu an hangi gelişmeler var özetler misin,son olarak su an hangi gelismeler var ozetler misin,HABER_SORUSU,KitapPusula-Final-özel,eğitim
yerel veri tabanında toplam kaç eser bulunuyor şu anda,yerel veri tabaninda toplam kac eser bulunuyor su anda,KITAP_SAYISI,KitapPusula-V6,eğitim
Ali kim,ali kim,KARAKTER_SORUSU,KitapPusula-V6,eğitim
kısaca alışveriş listesi oluştur olur mu,kisaca alisveris listesi olustur olur mu,ALAN_DISI,KitapPusula-Final-özel,eğitim
model kategori listesini ver,model kategori listesini ver,KATEGORI_LISTESI,KitapPusula-V6,eğitim
söyler misin kaç yaşındasın,soyler misin kac yasindasin,BOT_YAS,KitapPusula-Final-özel,eğitim
sence karakterin davranışı nasıl değerlendirilebilir kısaca değerlendir,sence karakterin davranisi nasil degerlendirilebilir kisaca degerlendir,SERBEST_KITAP_SORUSU,KitapPusula-V6,eğitim
seçtiğimiz kitabın adı ne hatırlatır mısın,sectigimiz kitabin adi ne hatirlatir misin,KITAP_ADI_SORUSU,KitapPusula-V6,eğitim
söyler misin arkanda kim var bana,soyler misin arkanda kim var bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
bana biraz mizah yap,bana biraz mizah yap,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
iyi burger nasıl yapılır olly,iyi burger nasil yapilir olly,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu yemek için rehber ve tarif ara,bu yemek icin rehber ve tarif ara,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
açıkçası sohbetimiz güzel gidiyor aslında,acikcasi sohbetimiz guzel gidiyor aslinda,GENEL_SOHBET,KitapPusula-Final-özel,eğitim
şimdilik hoşça kal KitapPusula,simdilik hosca kal kitappusula,VEDA,KitapPusula-Final-özel,eğitim
doğrudan geliştiricin kim,dogrudan gelistiricin kim,BOT_YARATICI,KitapPusula-Final-özel,eğitim
sistemde kitap havuzu ne kadar büyük söyler misin,sistemde kitap havuzu ne kadar buyuk soyler misin,KITAP_SAYISI,KitapPusula-V6,eğitim
siyah güneş gözlüğü takayım mı takmayayım mı,siyah gunes gozlugu takayim mi takmayayim mi,HAVA_SORUSU,MASSIVE-tr-TR,eğitim
lütfen hepsini tekrar et bir kez daha,lutfen hepsini tekrar et bir kez daha,TEKRAR_GOSTER,KitapPusula-V6,eğitim
yardımın için çok sağ ol sana,yardimin icin cok sag ol sana,TESEKKUR,KitapPusula-Final-özel,eğitim
model desteklenen kategoriler neler şu anda,model desteklenen kategoriler neler su anda,KATEGORI_LISTESI,KitapPusula-V6,eğitim
bu kitap içeriğinden bahset lütfen,bu kitap iceriginden bahset lutfen,OZET_SORUSU,KitapPusula-V6,eğitim
bu kitap hakkında ek bilgi paylaş,bu kitap hakkinda ek bilgi paylas,DETAY_SORUSU,KitapPusula-V6,eğitim
bu sistem sınırsız kitaba erişebiliyor mu,bu sistem sinirsiz kitaba erisebiliyor mu,HER_KITAP_SORUSU,KitapPusula-V6,eğitim
bu eser hacmi ne kadar söyler misin,bu eser hacmi ne kadar soyler misin,SAYFA_SORUSU,KitapPusula-V6,eğitim
lütfen en iyi tarifleri ara,lutfen en iyi tarifleri ara,YEMEK_TARIFI_SORUSU,MASSIVE-tr-TR,eğitim
bu eser kategorisi ne söyler misin,bu eser kategorisi ne soyler misin,TUR_SORUSU,KitapPusula-V6,eğitim
artık tekrar görüşmek üzere KitapPusula,artik tekrar gorusmek uzere kitappusula,VEDA,KitapPusula-Final-özel,eğitim
hoşça kal sonra,hosca kal sonra,VEDA,KitapPusula-Final-özel,eğitim
lütfen kitaplarla ilgili şaka anlat,lutfen kitaplarla ilgili saka anlat,SAKA_ISTEGI,KitapPusula-Final-özel,eğitim
merak ettim bu uygulamayı yapan kim bana,merak ettim bu uygulamayi yapan kim bana,BOT_YARATICI,KitapPusula-Final-özel,eğitim
acaba geliştiricin kim lütfen,acaba gelistiricin kim lutfen,BOT_YARATICI,KitapPusula-Final-özel,eğitim
neler yapabiliyorsun,neler yapabiliyorsun,BOT_YETENEK,KitapPusula-Final-özel,eğitim
