Kitap Adı,Kitap Açıklaması,Kategori
Harften Tabut,"Bu şiirde sen yoksun diye kapıyı kapatmak varKapıda kilit, avluda kürek, boy çukuru diye bir şeyGençliğimi kökünden söküp ipe geçirmek var İki çekiç var, belki iki el ateş, hazırlan geliyor işte sesBeni şu dünyada yüzükoyun yatırmış bir toprak var",Şiir
Boşluktakiler,"""Tom McCarthy'nin yazdıkları arasında en sevdiğim kitaptır bu. Ziyan olmuş koca bir dünyadaki yalnızlığın romanıdır Boşluktakiler."" - Simon Critchley ""İkinci vagona atlayıp doğruca arkaya ilerliyor. Aslında en kötü yer burası, çünkü pasosu artık geçerli değil ve sivil kıyafetli kondüktörler geldikleri zaman tramvayın arkasından önüne doğru hareket ediyorlar. Ama Nick dümen suyunda yolculuğa bayılıyor. Pencerenin önündeki parmaklığa dayanarak rayların tramvayın altından, sanki bunları yerden sürüp toplayan bizzat tramvayın kendisiymiş gibi görünmesini ve tramvay ilerledikçe tepesindeki kutunun,",Roman
Anahtar Yolu,şimdi hangi uzak ülkeye yağmur yağsabenim ağaçlarım ışır karanlıklardaözendiğim her aşktabir dilek ağacının dallarıkuş yollara bırakır içimdeki kanadı,Şiir
İzlerin Geçmişi,"Kan, acı, kötülük ve en önemlisi sırlarla kaplı bir geçmiş...Bunları bünyesinde barındıran bir teşkilat! Bir lider ve asil üyeler. Geçmiş hiçbir zaman geçmiş değildir. İzleri daima ruhumuzda leke bırakır. İşte onların hikâyesi.‘‘Güveneceğimiz insani gözyaşlarından anlardık. Ve bizim gözyaşlarınız aynı acıya akmış, aynı acıya kanamıştı.Peki, simdi ne değişmiş olabilirdi?’’",Roman
Mesut İnsanlar Fotoğrafhanesi (12-G-58 ),"Elinin altındaki imkanlardan yararlanmayı, başka birinin üzüntüsüne, kırılmasına sebep olmamak için düşünmeyen, yaşama savaşında kendi kişisel isteklerini yerine getirmek için kimseyi rahatsız etmeyen, kimseye yaklaşmayan kişiye ermiş adını vermek uygun düşmez mi?Herkesin birbirini itelediği, en değersiz yerler, nesneler için birbirine çelme taktığı dünyamızda bu çeşit ermişlere yer kalmamıştır. Ama böyle bir ermiş kendine yer kalmayan bu dünyada, bu toplumda, içimizde, aramızda, hepimizin sevdiği, saydığı bir dost, bir arkadaş, bir şair, bir yazar kişiliğiyle yaşadı. Tam kırk yedi yıl süren b",Deneme
İbo İhtilalin Fidanı,"Feyizoğlu, ayrıntı avcısı bir insan. Gerçeği çok yönlü, derinlemesine açığa çıkarma işine, dikkati çekmeyen ayrıntılardan başlıyor. Kuşku duymak, ısrarla deşmek, bıkıp usanmadan sormak, karşı tarafı bıktırırcasına ve de kaçırırcasına sigaya çekmek. Konu, ‘68–71 kuşağının sistem tarafından yok edilen liderlerinin yaşamı olunca Feyizoğlu’nun bu illet sorguculuğu işe yarıyor, daha bir anlam kazanıyor. Sınıf mücadelesinin enkaz altında kalan pırlantalarını açığa çıkarma işidir bu. Kolay değil. Feyizoğlu’nun dili durudur. Zorlanmadan, pürüzlere takılmadan okuyoruz. Okurken, “Bu dokuda bir şey eksik",Anı
Lev Tolstoy,"Tolstoy karmaşık bir kişilik. Bir yandan eserleri ve düşünceleriyle dünyayı etkilemiş, müritler edinmiş büyük bir fikir adamı; diğer yandan kumara ve kadınlara düşkün, zaafları olan bir insan. Ömrü boyunca öğretisiyle yaşantısı arasındaki çelişkinin acısını çekmiş: Evrensel aşkı yüceltirken evde karısına kötü davranan, yoksulluğu öğütlerken lüks içinde yaşayan...Öğretinin yüceliği için “kendi”ni yok etmeyi salık veren; ama “kendi”yle ilgili her fiziksel sıkıntıyı defterlerine not etmeden duramayan biri.Henri Troyat, bu kadar kapsamlı bir Tolstoy biyografisi meydana getirebildiyse, bunu büyük ö",Biyografi-Otobiyografi
Faili Meçhul,Faili Meçhul Londra'nın fakir bölgelerinde bir anda ortaya çıkan ve üç ay gibi kısa bir sürede tüm ülkeye adı yayılan bir seri cinayet ve katili konu alır. Kendine taktığı takma adıyla ün kazanan katilin izini Londra'nın tecrübeli ve zeki polislerinden Tony Handerson sürmeye başlar. Tony Handerson ve katilin arasında geçen heyecanlı bir hikaye sizi bekliyor.,Hikâye
Çapanoğlu İsyanı ve Çerkez Ethem Yağması Kurtuluş Savaşı Anıları,"Milis Yüzbaşı Ahmet Nâzım Kafaoğlu, 20. Yüzyıl’ın başlarında Yozgat’ta yetişmiş önemli bir asker ve devlet adamıdır. Balkan Savaşları, I. Dünya Savaşı ve Kurtuluş Savaşı'nda gösterdiği kahramanlıklarla tanınan bir vatanseverdir. Özellikle Kurtuluş Savaşı yıllarında (1919-1922) yaşanan Çapanoğlu İsyanı ve isyanı bastırmak üzere Yozgat’a gelen Çerkez Ethem komutasındaki 1. Kuva-yı Seyyare’nin şehirde gerçekleştirdiği idamlar ve yağmalar nedeniyle Yozgat, Cumhuriyet Dönemi'nde sıkça haksız ithamlarla karşılaşmıştır. Ahmet Nâzım Kafaoğlu, bu olayların tanığı olmuş ve komutasındaki Yozgatlı yiğitle",Anı
Serafina ve Parçalanmış Yürek,"Serafina’ya bir şey olmuştu. Anlamadığı bir karanlığa uyanmıştı ve korkunç bir dövüşten çıkmış gibi yara bere içindeydi. Biltmore’daki hayat çok değişmişti ve eski arkadaşları, akla hayale sığmayan şeyler yapıyordu. Düşman ise her yerdeydi.Gizemli, isimsiz bir güç Biltmore’a doğru geliyor ve beraberinde önüne çıkan her şeyi yerle bir edecek fırtınalar ve seller getiriyordu. Serafina kendisine neler olduğunu anlamalı ve çok geç olmadan yeni ve tuhaf güçlerini kullanmayı öğrenmeliydi.İmkânsızı gerçekleştirmesi için sadece günler varken Serafina, Biltmore Evi’nin koruyucusu, Braeden’ın arkadaşı,",Bilimkurgu-Fantazya
Dünya Dışında Kolonileşme Neden İnsanlar Başka Gezegenlerde Koloni Oluşturmamalıdır?,"Gezegenimizde her an insan neslini yok edecek kadar büyük bir doğal afet olma olasılığı var. Dolayısıyla şunu kabul etmek gerekiyor; zamanı geldiğinde insanlar Dünya gezegeninden kısım kısım ayrılıp uzaya dağılacaklar. İnsanlar bunu başarabildikleri andan itibaren tıpkı Dünya üzerinde farklı medeniyetler ve kültürler oluştuğu gibi uzayda da aynı şekilde farklı medeniyetler, farklı toplumlar, farklı kültürler oluşacaktır. Dünya dışında yaşayan insanlar büyük bir olasılıkla birçok açıdan bizden farklı olacaklar.Siz Dünya dışında yaşamayı nasıl hayal ediyorsunuz?Sizce Uzay boşluğunda ya da yabanc",Deneme
Hafıza Bakımı İlk Yardım Seti,"Kutunun İçindekiler:-Hafıza Bakımı Kitabı-Dodoj Şekerleme-Hafıza Reçetesi-Yeşil Çay-Sticker Sayfası-Yara Bandı Sticker“Tüm anılarınızı artık biz yöneteceğiz.”Yakın gelecekte, sürekli çatışma ve çekişmelerden yorulmuş bir şehir, karanlık geçmişinden kaçmak için vatandaşlarının travmalarını yapay bir şekilde yok eden özel bir hafıza yönetim sistemi olan “Hafıza Bakımı”nı hayata geçirir. Böylece anıların manipüle edildiği ve vefat eden sevdiklere dair tüm hatıraların anında silindiği bir distopya ortaya çıkar. Ancak Bom, bu dünyanın en temel kuralını —vefat eden birinin anısını saklamama kuralını",Bilimkurgu-Fantazya
Nar-ı Sevda,Nar-ı sevda düşsün hele yüreğeKerem gibi tutuşturur kül eylerAkıl fikir ermez asla sırrınaSultanları kölelere kul eylerNice aşıkların aklın şaşırırNicesini yüce dağdan aşırırBir Leyla uğruna çöle düşürürMecnun gibi dolandırır del'eylerKimisini ateşlere yandırırKimsini boş hayalle kandırırKimisini divaneye döndürürKimi dağın zirvesini yol eylerFikret der geldi mi gitmiyor baştanYakışı beterdir korlu ateştenKeser sevenleri ekmekten aştanAşıkların gözyaşını sel eyler,Şiir
Mia,"“Bir çağ kargaşasında aklım Aklımda bir karga saklarım” Mia, en derin korkularınızı ve hayallerinizi cesurca yansıtan bir rehber. Sorgulayan bir ayna, rehberlik eden bir dost… Onun hikâyesi, kendiyle yüzleşme cesaretini ve iç huzuru arama yolculuğunu anlatıyor.“Mia”, sizi kendi benliğinizin derinliklerinde bir keşfe davet ediyor. Hazır mısınız?",Hikâye
Hgoi 1: Lordlar Ve Varisler (Karton Kapak),"Gökyüzü senin için şarkı yazıyor! Su Krallığı’nın yıkılışının ardından tahta geçen Toprak Krallığı yüzyıl sonra insanların arasına gizlenenvârislerin peşindedir. Büyük Yıkım’ın ardından Ateş Krallığı esir düşmüş, Hava Krallığı çok kayıp verse de ayakta kalmış, Su Krallığı’ndan ise geriye hiçbir şey kalmamıştır. Alfin efsaneleri ile gökyüzünü seyrederek büyüyen ama sihre inanmayan Nova diyara getirildiğinde en yakın arkadaşı ile düşman krallıkların vârisleri olduklarını öğrenir. Yüzlerinde kim olduklarını ve hangi krallığa ait olduklarını simgeleyen izi de bir türlü belirmez. Diyarda herkes tar",Bilimkurgu-Fantazya
Fantastik Canavarlar: Grindelwald’ın Suçları - Orijinal Senaryo,"Güçlü karanlık büyücü Gellert Grindelwald, Newt Scamander’ın yardımıyla New York’ta yakalanmıştı. Ama Grindelwald dediğini yaparak kaçar ve destekçilerini bir araya getirmek için yola koyulur; bunların pek çoğu Grindelwald’ın gerçek planlarından habersizdir, Grindelwald’ın asıl niyeti büyüdışı varlıklar üzerinde hâkimiyet kurmak için safkan büyücüleri başkaldırmaya teşvik etmektir. Albus Dumbledore, Grindelwald’ın planlarına engel olmak için eski Hogwarts öğrencilerinden biri olan Newt Scamander’ı görevlendirir, Newt karşısına çıkabilecek tehlikelerin farkında olmaksızın ona yardım etmeyi bir",Bilimkurgu-Fantazya
Danimarkalı Yem,"Ketil, kendini katilin yerine koymaya çalıştı. Bir adamı balkondan iterek öldürünce cinayet silahını saklamak, ortadan kaldırmak gibi bir endişesi olmazdı bir katilin. Buraya kadar her şey iyiydi ama öte yandan silahın dışında parmak izi gibi başka ipuçları vardı ortadan kaldırılması gereken. Aynı zamanda apaçık bir cinayet işleme nedeni de olmaması gerekiyordu ki, polis şüphelenmesin. Ya şahitler? Olayın görgü tanıkları varsa, bunların da ortadan kaldırılması gerekecekti. Tabii ya!(Kitaptan)Gazeteci Ketil Brandt, intihar ettiği sanılan eski arkadaşının ölümünü araştırırken Danimarka, Balkanla",Polisiye
Karanlıktakiler,"Ema Vašková, kendini hep farklı hissetti. Ailesindeki kimse batıl inançlara, lanetlere ya da o tür şeylere inanmıyordu ancak Ema, kemiklerinin derinliklerinde bir şeyler hissettiğine dair yemin edebilirdi! Ema, en ümitsiz anında Silvie ile tanışır ve sonunda kendisini anlayan birini bulmuştur! Ne var ki Silvie, kendinden beklenmeyen açıklamalarla dolu bir mektupla ortadan kaybolur. Artık Ema’nın tek amacı, Silvie’yi bulmaktır. Onu bulmak demek gece yarılarında evden gizlice çıkmak, karanlık dehlizlerden tek başına geçmek, kimliğini saklamak ve gizemli bir birliğin tüm sırlarını açığa çıkarma z",Bilimkurgu-Fantazya
Örümceğin Kaderi,"Yaşadığım, düşündüğüm, düşlediğim anlarİz bırakan kim bilir kaç insan, kaç ülke, kaç şehirYıllar boyu biriken sözcüklerHollanda’da bir tren tünelden çıkarkenBir örümcekle göz göze gelişimleDeğişen kaderim",Şiir
Epizotlar,Bu defterin yarısı kitap ya da bu kitabın yarısı defter. Nereden bakarsan Yazar Masume Şirin’in kaleminden dökülen 90 adet Epizot ile siz okuyucuyu baş başa bıraktığımız defter-kitap’ta sizlerin de epizotlarını kağıda dökmesi için yer ayrılmıştır.,Deneme
Amanvermez Avni 1 / Yanmış Adam,"Geçen devirde, sırf aklının dâhice çalışmasına güvenerek bu mesleğe giren “Avni” daha yirmi beş yaşında iken arkadaşlarının dikkatini ve hayretini çekmeye başlamış, az zamanda Zaptiye Nezareti yöneticilerinin de takdirini kazanarak en önemli olayların, en gizemli cinayetlerin araştırılması ve takibi kendisine verilmişti. Emniyet hizmetlerine girişinin beşinci senesinde “Amanvermez” lakabıyla anılmaya başlanmış ve bu lakap memleketin en sefil tabakasına kadar yayılmış, yarası bulunan sefiller bundan pek gocunmakta kendilerini haklı görmüşlerdi. Avni ilk senelerde hırsızlar, yankesiciler, adi ka",Polisiye
Amerigo: Tarihsel Bir Yanılgının Hikayesi,"“Zweig’ın biyografileri bu türün tartışmasız klasikleridir.” —EL MUNDO Yeni Dünya… Kolomb Amerika’yı keşfetse de bunu fark etmemiş, Amerigo Vespucci ise keşfetmediği hâlde buranın yeni bir kıta olduğunu fark eden ilk kişi olmuştur. Kolomb ve Macellan’ın aksine kendisine hiçbir filo emanet edilmemiş Vespucci, yaptığı tüm işlerde daima alt konumda ve başkalarının gölgesinde olmuşken tarihe adını nasıl yazdırmıştır? Stefan Zweig sezgisel bir yaklaşım ve usta işi bir anlatıyla, Vespucci’nin yaşamının etrafında üç yüz yıl boyunca gelişen ve adını ölümsüzleştiren tesadüfler, yanılgılar ve hatalar ko",Biyografi-Otobiyografi
Bırak Kuş Olayım,“Bir anne biliyorBütün durumlardaYarattıklarını korumayıSadece bu gerçeği ayırt etse onlarAramazlar çıkmazla sonuçlanan bir karanlık tüneliÖnemli değil ne kadar kandan sarhoş olduklarıVe kendileriniTanrı ilan ettikleriTecavüz etmez onlarBir annenin sınırladığı savunma hattından”,Şiir
Fil Kazası,"Şiir Erkök Yılmaz’dan yepyeni öyküler: Fil Kazası Yazarın toplu öyküler kitabı Eşekarısı’ndan on yıl sonra yayımlanan kitapta dokuz öykü yer alıyor.Şiir Erkök Yılmaz, bu kitabında da sıra dışı bakış açısını ve sinematografik anlatımını sürdürüyor. Hayatın buhar olup uçan ve katılaşıp kalan yanlarına aynı ustalıkla eğiliyor. İroni gerçekliğin içine ustalıkla yerleşiyor, köpüğü üstünde olaylar ustalıkla öyküye taşınıyor ve sinema perdesine sözcüklerin ışığı düşüyor. Fil Kazası’nda bir araya gelen öykülerin başını, gerçekten de film gibi iki öykü, “1 Mayıs” ve “Koku” çekiyor. Somut olayların için",Hikâye
"Çok Güldük, Ağlamayalım","Ben hayatımda (kadınlar dışında) bilgisayar kadar sorun çıkartan başka bir şey görmedim. Üstelik yalnız kendisi sorun çıkartsa neyse…Bir alet, ilişkiye girdiği herşeyle sorun çıkartabilir mi? Bir bilgisayara yazıcı, tarayıcı, fotoğraf makinesi, kamera, cep telefonu gibi ne bağlamaya kalkışsanız ayrı bir dertle uğraşıyorsunuz. Her yüklediğiniz programla alet uyum sorunu yaşıyor.Bu kadar kaprisli kadın bile az bulunur. Hiçbiri yoksa da zaten ya“hardware” ya “software” sorunu vardır. Bir bilgisayarın sertlik ve yumuşaklıkla ilgili sürekli sorun yaşaması sizce de garip değil mi ?",Deneme
Son Eylül,"Daha önce Kestane Karası adlı romanı okurların büyük ilgisini gören Engin Aktel, yeni romanı Son Eylül ile bir kez daha Everest Yayınları'nda.Uzun yıllar gazetecilik yapan Aktel, gazetecilikten gelen birikiminin de etkisiyle gerçek yaşamdan izler taşıyan romanlara imza atıyor. Bir önceki romanında Burgazada'nın çok dilli, çok kültürlü yapısını dile getirmişti. Bu kez bizi Burgazada'dan 6-7 Eylül olayları olarak anılan cehennemin içine sürüklüyor. Yüzlerce yıllık yerleşik hayatların, dostlukların yerle bir edildiği, köklerinden söküldüğü acılı bir dönemin yaslı öyküsü...Son Eylül, İstanbul'un d",Roman
Islak Güneş,"Kitapta Kutlu, bir kıyı kentindeki hızlı, ancak çarpık değişmeleri sergiler. Bütün olayların odak noktası gibi görünen bir aileyle, komşularının yaşadıkları, gerçekte ülkenin o yıllardaki görünümünden bir kesittir. Naylon giysilerin, Amerikan cikletlerinin sokaklarda satılmaya başlamasıyla birlikte, çocukların oyun alanlarında dev yapılar yükselmeye, sokak çeşmesi çevresindeki çamurdan yapılan oyuncakların yerine plastikten olanlar geçmeye başlar. Böylesine hızlı bir değişimle birlikte, dış görünüşlerin yanı sıra değer yargıları da değişmeye yüz tutar. Ne çocukların oyunları eskisi gibidir art",Hikâye
İçimizdeki Pencereler,"M.Ö.2300 – Enheduanna, dünyanın ilk kadın yazarı ve şairidir… Milattan önce 2300 lerde yaşamıştır Bilinen ve resmi kayıtlara geçmiş, ilk yazar ve şairdir. 2017, Bir Müslüman Türk kadını dünyanın en uzun şiirini yazdı ve tek kitapta bir araya getirdi. Bu kitabıyla Dünyanın en uzun şiirini yazan kadın ünvanını aldı.",Şiir
Boyumdan Büyük İşler,"Babam, yazarken bana zorluk olsun diye mi, nüfus memurunun asâbı bozulsun diye mi, konuşurken kendisinin yaptığı med hatalarına olan takıntısından mı bilmiyorum, ismimdeki a harfleri üzerine şapka koydurmuş. Doğrusu da bu ama bir yerlerde yazması hayli problemli...Babam, ""Çift isimliler genellikle biriyle çağrılıyor. Senin isminin hem anlamı güzel olmalı hem telaffuzu kolay olmalı hem de olur ya bir gün marka bir kişi olursan ismin buna destek olmalı, ayrıca ismin ile çağrıldıkça dua hükmüne geçeceğinden dolayı da karakterine olumlu tesir etmeli."" diyerek adımı koymuş. Problem şu ki kendim dâh",Anı
Sadece Hüzün Vardı,"Hayatta karşılaşılan zorluklar, içsel çatışmalar ve bazen ifade etmekte zorlanılan derin duygularla yüzleşme... Murat Yaşar ÖZEN, yazılarını sadece bir edebi eser olarak değil, aynı zamanda bir iç yolculuk ve kendini keşif süreci olarak görmekte, bu deneyimlerini okuyucuyla paylaşmaktadır.",Şiir
Gölge Şehrin Çobanı,"Dünya üzerinde bilinen tek yaşam yeri olan Arthapolec’teki tüm ulusları tek bir sancak altında toplamayı amaçlayan Jaelcen’in saltanatı, on yıl önce yaşanan büyük ihanet sonrasında yerle bir olmuştu. Henüz on bir yaşındayken aileleri katledilen, doğdukları topraklardan bin mil öteye göç etmek zorunda kalan ve bu süreçte gerçek adlarını dahi kullanamayan iki kardeş, dünyanın kaderini değiştiren baskında nasıl hayatta kaldığını kendisinin bile hâlâ bilmediği Clegovyn’le birlikte hiç beklenmedik bir anda, umulmadık bir şehirde tekrar ortaya çıkmışlardı.Tıpkı on yıl önce olduğu gibi, yine bir ağus",Bilimkurgu-Fantazya
Damla Damla Günler 1 (1969-1976),"""Bir yazar için yazmak eyleminden daha öğretici bir şey yok.""Günlük türünün en önemli isimlerinden biri olan Andre Gide, edebiyatçı günlüklerinin birer portre, öykü, anı, tarih yazısı olduğunu söyler. Türk edebiyatının abidevi günlüklerinden biri olan Damla Damla Günler'in I. cildinde Adalet Ağaoğlu tam da bunu yapıyor. Dönemin siyasal koşulları, edebiyatçı portreleri, geziler, tarihî anekdotlar, TRT yılları, çekişmeler, büyük sevinçler, üzgünlükler, hüzünler... ""Oyun yazarı"" Adalet Ağaoğlu’ndan ""romancı"" Adalet Ağaoğlu’na giden yolda yazarımızı adım adım izliyoruz. Bu günlükler, sadece Türk e",Anı
Savur Küllerini Yanmış,"Geçmişi yaralı adamları herkes sever… Kapalı kapıların ardına gizlenmek zorunda kalmış eski aşklar, tutkular, öfkeler! Adal Yalaz, karısını kaybeden ve dünyaya kapılarını kapatarak kendini yaşadığı karanlığın içine hapsetmiş, o karanlıktan çıkmayı göze alamamış bir adam. Ta ki, karısının ona bıraktığı vasiyete kadar.Erda Elmas ise nişan gününde aldatıldığını öğrenen ve evleneceği adam tarafından terk edilen güzel kadın…Hayat bir şekilde onları bir araya getirirken Adal Yalaz için bu evlilik bir ihanet, bir yük, ölen aşkının tam göğsüne saplanan bir oktur. Erda Elmas onunla evlenirken zaten umu",Roman
Niye Geldik Cihane?,"Kıymetli şairlerimizin zihnimize cilâ, kalbimize safâ olan mısralarını hoşsohbet üslubuyla bizlere aktaran Hayati İnanç, Niye Geldik Cihane? sorusuna yanıt olacak yazıları ile hayatı anlamlandırma çabamıza ortak oluyor.Yolunu şaşıranlar, yolda kalanlar, varmak istediği yere henüz karar veremeyenler için hakikate işaret eden bir pusula niteliğindeki bu eser, Türkçemizin güzelliklerini de gözler önüne seriyor.",Deneme
Kuş Uçar Kanat Ağlar,"Buradan dağlara bakarım. Gün, eteklerini toplayıp giderken bir küçük anne gelir. Yatağındaki boşluğa bakar. Tülbentlerini açar, katlar. Kırlentleri düzeltir. Kitapları toplar. Çocukları sorar. Gözyaşımı kurular. “Göğsümdeki çiçeklerin dili yok, unutma.” Evine gülümser. Alın çizgilerimi düzeltir. Sonsuzluğun ağzıyla öper. Yalnızlığımı alır. Yalnızlığını verir. “Ölüler, yaşayanlarda yaşar, bunu hiç unutma.”Buradan dağlara...",Şiir
Kantemir'in Çığlığı,"Bükreş’ten Profesör Elena Ursu, İstanbul’da gerçekleşecek olan dünya klasik müzik festivaline katılabilmek için orkestrasıyla dinlenmeden günlerdir hazırlanıyordu. Osmanlı topraklarında yaşayan, müziğiyle ve kaderiyle çok etkilendiği Romen asıllı büyük besteci Dimitri Kantemir onuruna, İstanbul seyircilerinin önünde bir konser gerçekleştirmek hayatının hayaliydi. Bir bölümünde flütün mucizevi şekilde acıyı tasvir ettiği ve kendi acısını da hatırlatan, neredeyse çığlık gibi yükselen tonlardan özellikle etkileniyordu. Düne kadar hayatının direği olan kişiyle anlaşmazlık yüzünden derinden yaralan",Şiir
Ambrosia,"“SENİN İÇİN KRALLIĞIMI YERLE BİR EDERDİM.” Seelie Kralı Torin beni az kalsın dondurarak öldürecekken,sihirli bir geçien geçerek gerçek evime gönderilmiştim. Ama görünen o ki gerçek evim, Istırap Sarayı olarak bilinen vahşi Unseelie Krallığı’ydı. Torin beni takip ederek boynuzlarımı gördüğünde müstakbel gelininin krallığının düşmanlarından biri olduğunu anlamıştı. Benim türümden olanlara “iblis” diyordu! Ne var ki bir Unseelie’nin boynuzlarına sahip olmama rağmen burada da hoş karşılanmamıştım. Kraliçe Mab ve korkunç askerleri beni bir hain olmakla suçlarken bize işkence etmekten büyük keyif al",Bilimkurgu-Fantazya
Sussam Susulmaz Yazmasam Olmaz,"“Kitabı yazmaktaki amacım, ‘tarihin tekerrür etmesini önlemeye’, kendi çapımda kalıcı bir katkı sunmaktan öteye gitmez.2020 koşullarını düşündüğümde... Her şeye rağmen, ‘Gazetecilik... Bağımsız, özgür, kimsenin kulu kölesi olmadan, inandığın gibi, saygın gazetecilik...’ 2020 koşullarında bile, dünyaya bin kez gelsem, bin kez gazeteciliği seçerim.Bu kitap bir siyasi tarih kitabı değil. Bir otobiyografi hiç değil. Ama, kronolojik olmayan, o nedenle yıllar içinde birbiriyle bağlantılı olayların perde arkasını kendi penceremdenanlatma denemesidir.”YALÇIN DOĞAN Sussam Susulmaz Yazmasam Olmaz, gönül",Biyografi-Otobiyografi
Martin Luther King Jr. / İlham Verenler 5,MARTİN Luther King Jr. 1920’lerde ırkçılığın Amerika’da en çok hissedildiği yıllarda dünyaya geldi.Siyahi olmanın ne demek olduğunu henüz altı yaşındayken arkadaşının ona; “Artık senle oynayamam sen bir zencisin!” demesiyle acı bir şekilde öğrendi.O gece kırık ve yorgun bir kalple uykuya daldığında siyah-beyaz tüm çocukların el ele tutuşup neşe ile oynadığı çok güzel bir rüya gördü.Ömrü boyunca bu rüyanın peşinden gitti ve ırkçılık denen illetle büyük bir mücadeleye girdi. Böylece tarihin akışını değiştiren nadir insanlardan biri haline geldi ve etkileyici hikâyesiyle milyonlarca kişiye ilham,Biyografi-Otobiyografi
Yedi Hafta On İki Cinayet,"Bir sürü cinayete koştum, bir sürü tanık dinledim, bir sürü zanlım oldu. Hapishaneye yolladığım, beni pek de hayır duasıyla anmadıklarına emin olduğum bir sürü katili tanıdım. Kafamın kazan olduğu, ölenlerin geride bıraktığı acılı insanları görünce his dünyamın harap olduğu, hak edenlerin cezasını aldığını görüp mesleki doyuma ulaştığım zamanlarım oldu. Yüzdüm, meslek hayatım boyunca durmadan yüzdüm. Engin bir okyanusun ortasındaydım sanki ve yüzmeden durduğum her an batma tehlikesiyle karşı karşıya kalıyordum.Emekli Başkomiser Rıfat Alagöz, başından geçen gerçek hikâyeleri anlatıyor. Katiller",Polisiye
Eğitime Dair Denemeler,"Eğitime Dair Denemeler: Öğretmenlerin ve Ebeveynlerin Yol HaritasıSeyhan Korkmaz Avşar'ın ""Eğitime Dair Denemeler"" kitabı, uzun yıllar boyunca öğretmenlik mesleğini icra etmiş bir eğitimcinin deneyimlerinin ve gözlemlerinin paylaşıldığı bir koleksiyon. Her bir denemesinde eğitim konusuna farklı perspektiflerden yaklaşan Avşar, öğretmenlere ve ebeveynlere değerli önerilerde bulunuyor.Eğitimin Kalbine Bir Yolculuk""Eğitime Dair Denemeler"" kitabında;• Öğretmen ve veli iletişiminin önemi• Öğrencilerin duygusal ve sosyal gelişimine verilmesi gereken önem• Öğrencilere değer kazandırmanın yolları• Far",Deneme
Cavide,"Yıllardır ölümsüzlük ve güzellik uğrunda kullanılan, öldürülen, kaçırılan çocuklara adadığım bu romanda şifacı ve adli tıp fotoğrafçısı olan Cavide’nin içinde bulunduğu koşullar bize çoğu zaman değerlerimiz dediğimiz ve körü körüne bağlandığımız ön yargıların anlamsızlığını; hayata, ölüme ve gençliğe bakışımızı sorgulatır.Cavide, adli tıpta fotoğrafını çektiği insanların başına gelenleri öngörüsü ile algılamaktadır. Yıllar önce kendisinden vazgeçen âşığının cesedi karşısına geldiğinde mistik güçleri olan Cavide, bu cinayetin Işık’ın Efes’te eski kayıp bir sayfada bulduğu ölümsüzlüğün formülü i",Bilimkurgu-Fantazya
Işık Tugayı,"ARTHUR C. CLARKE EN İYI ROMAN ÖDÜLÜ 2020 ADAYIHUGO EN İYI ROMAN ÖDÜLÜ 2020 ADAYI “Kahramanlar her zaman olağanüstü değişimlerin peşinde koşan sıradan insanlardı.” Çok, çok uzak bir gelecekte artık uluslar ortadan kalkmış, dünyanın farklı bölgeleri ilerleme adına şirketler tarafından yönetilmektedir. İnsanlar asteroit kuşağına kadar yayılmışlardır. Tıpkı kimi uluslarda olduğu gibi ya vatandaşsınız ya da değilsiniz. Vatandaş olmak, “hortlakların” elde etmeyi ancak hayal edebileceği haklar ve ayrıcalıklarla birlikte gelir. Dietz, bir zamanlar São Paulo’yu kapsayan bir şirket bölgesinden bir “hort",Bilimkurgu-Fantazya
Yitik Dünya,"Shannon Moss, Donanma Suç Araştırma Birimi’nin gizli bir bölümünde çalışıyordu. 1997 yılında, Batı Pennsylvania’da, bir komandonun ailesinin cinayetini araştırma görevini aldı, ayrıca ailenin kaybolan genç kızını da bulması gerekiyordu. Moss, geleneksel emniyet güçlerine söylemese de, kayıp komandonun USS Terazi isminde bir uzay gemisinde astronot olduğunu biliyordu. Bu gemi, Derin Zaman’ın akıntıları içinde kaybolmuştu. Moss zaman yolculuğunun zihinsel travmalarını ilk elden yaşamıştı ve komandonun gelecekteki tecrübelerinin bu şiddeti tetiklediğini düşünüyordu. Moss, kendi geçmişindeki bazı",Bilimkurgu-Fantazya
Nar Ağacı Çiçek Açtı,Bir parça sevdayı sararak bohçamaSonu gelecek sevdaya çıkmışım…***Efsaneler masallar deli bir rüzgârBütün sınıflar ithal olmuşYenilenmişsin eskinin içinden süzülerekHer mevsim yeşil gözlü nar gülüşlerGüne uyandığındaGüneşin Gülümser,Şiir
Gerçeği İnciten Papağan,"Yeşil gözlü adam, akşam beyoğlu’ndaKendi trajik yazgısına yakın bulduğuTommy filmini seyretti.Salon bomboştu.Tarkovski haftasında, ayna’yı daÜç kişiyle izlemişti.Tommy’i seyreden yeni türk edebiyatı profesörüDostu, “mevlana çağımızda yaşasaydıBu filmin diliyle konuşurdu” demişti.Yağmurun inci inci yağdığı o ikindi üzeri,Çalıştığı gazeteye uğradığındaSantral görevlisi bir arkadaşıAnkara’dan geldiğini,Kendisini aradığını,Akşam garda bekleyeceğini söylemişti.Gara gitmiş fakat bulamamıştı onu.Deneme, araştırma, roman ve senaryo gibiBirçok yazı alanında önemli çalışmaları bulunan,Özellikle öykü ala",Hikâye
